,date,id,owner_id,from_id,posts,comments,likes,reposts,views
10,2022-12-13 13:38:24,3155,415686247,415686247,"переходить ссылка ☝ ️
 информация core dao приятно поздравлять майнер core готовый отпраздновать coremainnet полный завершение майнинг core ожидаться 15 декабрь всемирный координировать просить пользователь заявлять свой добывать core 18 декабрь 23 59 59 всемирный координировать невостребованный токен очищать истечение повлиять основной баланс аккаунт приложение satoshi запускать совершенно новый версия стремиться становиться хороший мир бесплатный платформа airdrop запускать тестовый проект пользователь смочь испытывать опробовать тестовый проект функционировать пробный отделка система испытание давление нетерпение ждать принимать активный участие",3,3,1,93.0
11,2022-12-13 14:31:36,117,-213066832,-213066832,"❗ открываться ❗ 🪙 crypto company хороший сервис заработок криптовалюта vk 💬 переходить бот начинать зарабатывать 🕔 ⭐ качество 🔥 удобный многофункциональный бот 💸 быстрый выплата 👨 ‍ 💻 отзывчивый администрация ✍ написать бот  - [
 ❗ туториал  - [
 💬 отзыв  - [
 📈 реклама  - [
",0,7,0,58.0
12,2022-12-13 14:11:37,117,-217429549,-217429549,добрый продуктивный 🤗,0,7,1,219.0
13,2022-12-13 14:11:00,18570,-33338117,-33338117,binance национализировать повторять судьба ftx 13.12 2022 внимательно изучать ситуация bnb crypto целое забывать cme приглашать прямой эфир 19 00 мск обзор участвовать следующий инструмент ▪ биткоин btc ▪ эфир eth ▪ легкий нефть газ cl ng ▪ индекс es nq ▪ валюта 6а 6b 6c 6e 6s ▪ золото gc binance обвинение отмывание деньги,0,5,1,320.0
14,2022-12-13 14:01:33,944,156047751,156047751,"мандала 🤔 🤔 🤔 приходить замечательный девушка говорить : "" мандала космос 😏 ничто оставаться делать просить вечер показывать процесс работа",0,13,0,289.0
15,2022-12-13 15:00:02,3835,-205881234,-205881234,связь нынешний ситуация рынок nft essential investments основной направление меняться раздел trading полностью переосмыслять существовать момент раздел crypto находить сильный коллер результат работа готовый показывать nft раздел пропадать данный момент являться приоритетный связь объявлять недельный бета обновлять раздел trading протяжение период новый коллер помогать преумножать актив смочь помогать создавать самый сильный трейдинговый сообщество русский сегмент попадать необходимо заполнять форма отбирать интересный форма сбор заканчиваться конец неделя вход закрываться начинаться тестирование ссылка ждать essential investments рандомный лайк комментарий подписчик получать бесплатный недельный слот окончание бета,45,59,18,4062.0
16,2022-12-13 16:53:40,17942,237822854,237822854,🔥 получать 1000 монета akita проект akita trade 👉 переходить ссылка 👉 нажимать кнопка create account вводить почта проливать повтор пароль жать кнопка sign 🔸 готовый регистрация баланс акаунт 1000 монета ‼ кнопка вывод нажимать просить законектить кошелек делать подвергать риск свой кошелек проходить регистрация начислять монета 🔸 ждать новость проект,0,5,0,21.0
17,2022-12-13 16:45:00,315828,-66544874,-66544874,🔹 купить редкий скин нож перч 🔹 работать гарант гарантия скидывать вперед 🔹 банк 500к искать постоянный поставщик скин 🔹 выплата visa master мир qiwi сбер tinkoff crypto связь,0,1,0,378.0
18,2022-12-13 16:01:58,20921,6866813,6866813,30 минута выходить данные инфляция определять ход событие близкий 1 2 месяц движуха начинаться btc расти начало данные ждать торговать обращать внимание залетать смотреть торговать получать максимальный профит рынок братец 🤟,0,11,0,506.0
19,2022-12-13 17:45:26,146327,52895383,52895383,фронтовой дорога полный жесть ... господь друг отличный капеланский машина .... плыть пробираться фронт солдат старик подвал .. ежедневно капеланский батальон мариуполь работать фронт продолжать эвакуировать подвозить необходимый защитник украина поддерживать оказываться критический условие зона военный действие готовый подсоблять поток нужда координата приват банк 4627 0551 1027 4692 монобанк 5375 4114 0522 4788 paypal g mohnenko gmail com crypto donations использовать любой удобный вариант указывать портал front roads days full tin ... thank lord friends excellent chaplain cars .... swim make way front soldiers old people basements .. every day chapelan battalion mariupol works front continue evacuate people deliver necessary defenders ukraine support find critical conditions war zone support work use option convenient indicated portal paypal g mohnenko gmail com use crypto,0,3,0,30.0
